,ts,latitude,longitude,satellites
264,75.22,39.386619567871094,-8.278696060180664,12
265,75.42,39.38663101196289,-8.27869701385498,12
266,76.02,39.38666534423828,-8.278700828552246,12
267,76.22,39.38667678833008,-8.278703689575195,12
268,76.42,39.386688232421875,-8.278706550598145,12
269,76.82,39.38671112060547,-8.27871322631836,12
270,77.02,39.386722564697266,-8.278718948364258,12
271,77.22,39.3867301940918,-8.278722763061523,12
272,77.42,39.386741638183594,-8.278727531433105,12
273,78.02,39.38677215576172,-8.278742790222168,12
274,78.22,39.386783599853516,-8.278748512268066,12
275,78.42,39.38679504394531,-8.278754234313965,12
276,78.82,39.386810302734375,-8.278766632080078,12
277,79.02,39.38682174682617,-8.27877140045166,12
278,79.22,39.3868293762207,-8.278777122497559,12
279,79.42,39.3868293762207,-8.278777122497559,12
280,79.52,39.386837005615234,-8.27878189086914,12
281,80.02,39.38685989379883,-8.27879524230957,12
282,80.22,39.386871337890625,-8.278799057006836,12
283,80.42,39.386878967285156,-8.278803825378418,12
284,80.62,39.38688659667969,-8.27880859375,12
285,80.82,39.38689422607422,-8.27881145477295,12
286,81.02,39.38690185546875,-8.278814315795898,12
287,81.22,39.38690948486328,-8.278816223144531,12
288,81.42,39.38691711425781,-8.278818130493164,12
289,81.62,39.38691711425781,-8.278818130493164,12
290,81.82,39.38693618774414,-8.278825759887695,12
291,82.02,39.38694763183594,-8.278828620910645,12
292,82.22,39.386959075927734,-8.278830528259277,12
293,82.42,39.38697052001953,-8.278833389282227,12
294,82.82,39.386993408203125,-8.278839111328125,12
295,83.02,39.38700485229492,-8.278841972351074,12
296,83.22,39.38701629638672,-8.27884578704834,12
297,83.42,39.387027740478516,-8.278849601745605,12
298,83.62,39.387027740478516,-8.278849601745605,12
299,83.82,39.387054443359375,-8.278857231140137,12
300,84.02,39.38706588745117,-8.278861999511719,12
301,84.22,39.38707733154297,-8.278865814208984,12
302,84.42,39.38709259033203,-8.278868675231934,12
303,84.82,39.387115478515625,-8.278876304626465,12
304,85.02,39.38712692260742,-8.27888011932373,12
305,85.22,39.387142181396484,-8.27888298034668,12
306,85.42,39.38715362548828,-8.278886795043945,12
307,85.62,39.38716506958008,-8.278891563415527,12
308,85.82,39.387176513671875,-8.27889633178711,12
309,86.02,39.38718795776367,-8.278900146484375,12
310,86.22,39.3871955871582,-8.278905868530273,12
311,86.42,39.387210845947266,-8.278910636901855,12
312,86.82,39.387229919433594,-8.27892017364502,12
313,87.02,39.38724136352539,-8.278923988342285,12
314,87.22,39.38725280761719,-8.27892780303955,12
315,87.42,39.387264251708984,-8.2789306640625,12
316,87.62,39.387271881103516,-8.27893352508545,12
317,87.82,39.38728332519531,-8.278936386108398,12
318,88.02,39.38729476928711,-8.278938293457031,12
319,88.22,39.38730239868164,-8.27894115447998,12
320,88.42,39.38731384277344,-8.278943061828613,12
321,88.82,39.387332916259766,-8.278947830200195,12
