T,Alt,FAlt,FVeloc,LDA,Apogee,N-O,Drogue,Main,AUX
20.55,7446.00,7443.91,10.45,0,0,0,0,0,0
20.60,7448.00,7444.73,16.36,0,7448,0,0,0,0
20.65,7447.00,7445.18,9.09,0,0,0,0,0,0
20.70,7446.00,7445.35,3.27,0,0,0,0,0,0
20.75,7445.00,7445.28,-1.39,0,0,0,0,0,0
20.80,7445.00,7445.22,-1.10,0,0,0,0,0,0
20.85,7448.00,7445.78,11.11,0,0,0,0,0,0
20.90,7446.00,7445.82,0.89,0,0,0,0,0,0
20.95,7445.00,7445.66,-3.29,0,0,0,0,0,0
21.00,7445.00,7445.53,-2.63,0,0,0,0,0,0
21.05,7442.00,7444.82,-14.10,0,0,0,0,0,0
21.10,7444.00,7444.66,-3.28,0,0,0,0,0,0
21.15,7445.00,7444.73,1.38,0,0,0,0,0,0
21.20,7442.00,7444.18,-10.90,0,0,0,0,0,0
21.25,7444.00,7444.14,-0.72,0,0,0,0,0,0
21.30,7442.00,7443.72,-8.57,0,0,0,0,0,0
21.35,7440.00,7442.97,-14.86,0,0,0,0,0,0
21.40,7438.00,7441.98,-19.89,0,0,0,0,0,0
21.45,7440.00,7441.58,-7.91,0,0,0,0,0,0
21.50,7437.00,7440.67,-18.33,0,0,0,0,0,0
21.55,7434.00,7439.33,-26.66,0,0,0,0,0,0
21.60,7436.00,7438.67,-13.33,0,0,7436,7436,0,0
22.10,7415.00,7433.93,-9.47,0,0,0,0,0,0
22.60,7406.00,7428.35,-11.17,0,0,0,0,0,0
23.10,7407.00,7424.08,-8.54,0,0,0,0,0,0
23.60,7328.00,7404.86,-38.43,0,0,0,0,0,0
24.10,7305.00,7384.89,-39.94,0,0,0,0,0,0
24.60,7242.00,7356.31,-57.16,0,0,0,0,0,0
25.10,7201.00,7325.25,-62.13,0,0,0,0,0,0
25.60,7194.00,7299.00,-52.50,0,0,0,0,0,0
26.10,7150.00,7269.20,-59.60,0,0,0,0,0,0
26.60,7156.00,7246.56,-45.28,0,0,0,0,0,0
27.10,7073.00,7211.85,-69.42,0,0,0,0,0,0
27.60,7092.00,7187.88,-47.94,0,0,0,0,0,0
28.10,7011.00,7152.50,-70.75,0,0,0,0,0,0
28.60,6926.00,7107.20,-90.60,0,0,0,0,0,0
29.10,6847.00,7055.16,-104.08,0,0,0,0,0,0
29.60,6829.00,7009.93,-90.46,0,0,0,0,0,0
30.10,6879.00,6983.74,-52.37,0,0,0,0,0,0
30.60,6742.00,6935.39,-96.70,0,0,0,0,0,0
31.10,6702.00,6888.72,-93.36,0,0,0,0,0,0
31.60,6656.00,6842.17,-93.09,0,0,0,0,0,0
32.10,6635.00,6800.74,-82.87,0,0,0,0,0,0
32.60,6624.00,6765.39,-70.70,0,0,0,0,0,0
33.10,6514.00,6715.11,-100.56,0,0,0,0,0,0
33.60,6583.00,6688.69,-52.84,0,0,0,0,0,0
34.10,6522.00,6655.35,-66.68,0,0,0,0,0,0
34.60,6422.00,6608.68,-93.34,0,0,0,0,0,0
35.10,6443.00,6575.55,-66.27,0,0,0,0,0,0
